A-vitamiidna __ N __ A-vitamijnna
B-vitamiidna __ N __  B-vitamijnna
čurti __ N __  bahta
čuvgehus __ N __  tjuovggidus
čuvgesvuovttat __ N __  tjuovggisvuoptak
čuvla __ N __  vuolppo
šušmi __ N __  boasske
čábbodat __ N __  tjábbudahka
čáhcebohcci __ N __  tjáhtjebåhttså
čáhcegoaikkanas __ N __  tjáhtjegåjkudis
čáhcehátna __ N __  krádna
čáhceloddi __ N __  tjáhtjelådde
čáhceskoavhli __ N __  gåhpålahka
čáhci __ N __  tjáhtje
čáhppesrásttis __ N __  tjáhppisrástes
čáhppesvuovttat __ N __  tjáhppisvuoptak
čájáhus __ N __  vuosádus
čájálmas __ N __  vuosádus
šákša __ N __  loaddo
čálamáhtolaš __ N __  tjállemtjehpudahka
čálamáhttu __ N __  tjállemtjehpudahka
čálaoahppavaš __ N __  tjálukoahpes
čállinbeavdi __ N __  tjállembievdde
čállingirji __ N __  tjállemgirjje
čállingoddi __ N __  dåjmadahka
čállin __ N __  tjállem
čálus __ N __  tjálos
šámppu __ N __  sjámpoj
čáppagirjjálašvuohta __ N __  tjáppagirjálasjvuohta
šárrat __ N __  sjárrat
čáskadanbiila __ N __  jáddadimbijlla
čázádat __ N __  tjáhtjádahka
šáŋra __ N __  sjáŋŋar
allegoriija __ N __  allegorijja
allergiija __ N __  allergijja
analogiija __ N __  analogijja
antologiija __ N __  antologijja
arkeologa __ N __  arkeolåvggå
arkeologiija __ N __  arkeologijja
assi __ N __  asse
bassi __ N __  basse
batteriija __ N __  batterijja
bileahtta __ N __  billæhtta
biografiija __ N __  biografijja
biologa __ N __  biolåvggå
biologiija __ N __  biologijja
boaris __ N __  oames
demokratiija __ N __  demokratijja
eanetlohku __ N __  ieneplåhko
ekonomiija __ N __  økonomijja
energiija __ N __  enersjijja
etnografiija __ N __  etnografijja
etnologiija __ N __  etnologijja
filosofiija __ N __  filosofijja
fonologiija __ N __  fonologijja
geassi __ N __  giesse
geografiija __ N __  geografijja
geologiija __ N __  geologijja
giellateknologiija __ N __  giellateknologijja
gietkka __ N __  gierkav
gluten __ N __  gluten
guorga __ N __  guorgga
gárri __ N __  gárre
industriija __ N __  industrijja
kaloriija __ N __  kalorijja
kamela __ N __  kamiella
kaseahtta __ N __  kassæhtta
kataloga __ N __  katalåvggå
kemiija __ N __  kemijja
klássa __ N __  klássa
koloniija __ N __  kolonijja
kronihkka __ N __  kronihkka
kásus __ N __  kasus
lasáhus __ N __  lasádus
liturgiija __ N __  liturgijja
láhkán __ N __  láhkán
láhttu __ N __  láhtto
lássa __ N __  lássa
media __ N __  medijá
mehter __ N __  miehtar
meieriija __ N __  meierijja
miessi __ N __  miesse
moalki __ N __  moalkke
morfologiija __ N __  morfologijja
oađđenlatnja __ N __  oademladnja
poesiija __ N __  poesijja
politiija __ N __  politijja
prinsa __ N __  prinssa
prologa __ N __  prolåvggå
psykologa __ N __  psykolåvggå
psykologiija __ N __  psykologijja
sakristiija __ N __  sakristijja
suodjalusdepartemeanta __ N __  suodjalusdepartemænnta
sábbát __ N __  sábbát
sámediggeráđđi __ N __  sámedikkeráde
sápmelaš __ N __  sábmelasj
teknologiija __ N __  teknologijja
teologa __ N __  teolåvggå
teologiija __ N __  teologijja
tivoli __ N __  tivolijja
virus __ N __  virus
várálaš __ N __  várálasj
áltár __ N __  álltár
čeavránáhkki __ N __  tjævrránáhkke
