                                   100%
0%>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>	a
vahkosaš	vahkusasj	a
vahátlaš	vahátlasj	a
valanis	valánes	a
valljogas	valljugas	a
valljugas	valljugas	a
valljái	valljáj	a
vanhurskkismeahttun	vanhurskismeahttun	a
varra#ruškat	varra#russjkat	a
veadjetmeahttun	viedjetmeahttun	a
veahkiheapme	viehkeheapme	a
veahkkálas	væhkkálas	a
veahtas	viehtas	a
veaittalas	viejtalas	a
veaittalis	viejtales	a
veajitmeahttun	viejetmeahttun	a
vealggiheapme	vielgeheapme	a
vealtameahttun	vielltameahttun	a
veanzzas	vientsas	a
veara	viera	a
vearddeheapme	vierdeheapme	a
vearddiheapme	vierdeheapme	a
veardidan#gelbbolaš	vierddedan#gelbulasj	a
vearditmeahttun	vierddetmeahttun	a
veardásaš	værddásasj	a
vearjjuheapme	vierjuheapme	a
vearoheapme	vieruheapme	a
vearokeahtes	vierukeahtes	a
vearrasaš	vierrasasj	a
vearre#oahpalaš	vierre#oahpalasj	a
vearri#oahpalaš	vierre#oahpalasj	a
veartasaš	vierttasasj	a
vearuheapme	vieruheapme	a
veasttabuš	viestabusj	a
veađas	viedas	a
vepselaš	vepselasj	a
verbála	verbbála	a
vertikálalaš	verttekálalasj	a
viedni	vieddne	a
viepmat	viebmat	a
vierggeheapme	viergeheapme	a
vierggiheapme	viergeheapme	a
vierro#giel	vierro#giel	a
vierttos	viertus	a
vihkkái	vihkkáj	a
vihkosaš	vihkusasj	a
viiddisis	vijdeses	a
viidosaš	vijddusasj	a
vilddus	vildus	a
vilges#áissat	vilgges#ájsat	a
violeahtta	violeahtta	a
virtuála	virttoála	a
visot	visut	a
vissismeahttun	vissesmeahttun	a
visuála	visoála	a
viđa#geardán	vida#gærddán	a
viđa#geardásaš	vida#gærddásasj	a
viŋkil#njuolgat	viŋkkel#njuolggat	a
vokálaid#gaskasaš	våkålajd#gasskasasj	a
vuddjii	vuddjij	a
vulgára	vulggára	a
vulkánalaš	vulkkánalasj	a
vuobmái	vuobbmáj	a
vuoddji#guovdasaš	vuoddje#guovddasasj	a
vuoddjul	vuoddjul	a
vuoddjái	vuoddjáj	a
vuodnái	vuoddnáj	a
vuogiheapme	vuogeheapme	a
vuogádatlaš	vuogádatlasj	a
vuohtus	vuohtus	a
vuoiddasaddjái	vuojdasaddjáj	a
vuoigat	vuojggat	a
vuoiggameahttun	vuojgameahttun	a
vuoimmalaš	vuojmalasj	a
vuoimmiheapme	vuojmeheapme	a
vuoittiheapme	vuojteheapme	a
vuojaheapme	vuojaheapme	a
vuojuheapme	vuojuheapme	a
vuojus	vuojus	a
vuoksái	vuoksáj	a
vuolit	vuolet	a
vuolit#árvosaš	vuolet#árvvusasj	a
vuolle#ahkáhaš	vuolle#ahkáhasj	a
vuolle#árvosaš	vuolle#árvvusasj	a
vuollálas	vuollálas	a
vuollálasti	vuollálaste	a
vuonabuš	vuonabusj	a
vuopmat	vuobmat	a
vuorddehahtti	vuordehahtte	a
vuordemeahttun	vuorddemeahttun	a
vuordetmeahttun	vuorddetmeahttun	a
vuordimeahttun	vuorddemeahttun	a
vuordnása#dahkan	vuornnása#dahkan	a
vuorji	vuorjje	a
vuorukeahtes	vuorukeahtes	a
vuoste#doaris	vuosste#doares	a
vuoste#fápmo#adversatiiva	vuosste#fábmo#adversatijva	a
vuosti#doaris	vuosste#doares	a
vuosttaš#riegádan	vuostasj#riegádan	a
vuostálas	vuosstálas	a
vuotnaheapme	vuodnaheapme	a
vuovssaheapme	vuovsaheapme	a
vuođoheapme	vuoduheapme	a
vuođuheapme	vuoduheapme	a
vuođđo#jurddalaš	vuoddo#jurdalasj	a
vuođđo#njuolggaduslaš	vuoddo#njuolgaduslasj	a
vuođđo#skandinávalaš	vuoddo#skanddenávalasj	a
vurrolas	vurrulas	a
vádjit#válddálaš	vádjet#váldálasj	a
váhnemahtes	váhnemahtes	a
váhnengeahtes	váhnengeahtes	a
váhčči	váhttje	a
váibmo#reađahahtti	vájmmo#riedahahtte	a
váidalahtti	vájddalahtte	a
váigat	vájggat	a
váikkuhan#válddálaš	vájkuhan#váldálasj	a
váilevaš	vájlevasj	a
váimmo#bávččas	vájmo#bávtjas	a
váimmuheapme	vájmuheapme	a
válddiheapme	váldeheapme	a
válde#gottálaš	vállde#gåttålasj	a
váldi#váillat	vállde#vájllat	a
váldo#doaibmasaš	válldo#doajmmasasj	a
váldosaš	válldusasj	a
válga#dohkálaš	válgga#dåhkålasj	a
váli#dahkan	vále#dahkan	a
válljugas	válljugas	a
válmmas	válmas	a
válmmaš	válmasj	a
vánttalaš	vántalasj	a
várddus	várdus	a
váribuš	várebusj	a
váriheapme	váreheapme	a
várveš	várvvesj	a
vásedin	váseden	a
vássevaš	vássevasj	a
vástesaš	vásstesasj	a
vástevaš	vásstevasj	a
vástideaddji	vásstedeaddje	a
vástitmeahttun	vásstetmeahttun	a
vásttuheapme	vástuheapme	a
vátni#čalmmat	vádne#tjalmat	a
váttis	váttes	a
vávjjehahtti	vávjehahtte	a
vávjjihahtti	vávjehahtte	a
váŋká	váŋkká	a
áboheapme	ábuheapme	a
áddehahtti	áddehahtte	a
áddemeahttun	áddemeahttun	a
áddetmeahttun	áddetmeahttun	a
áddevaš	áddevasj	a
áhcagas	áhtsagas	a
áhpiheapme	áhpeheapme	a
áhppar	áhppar	a
áhtis	áhtes	a
áhčeheapme	áhtjeheapme	a
áibmadas	ájmmadas	a
áibmagas	ájmmagas	a
áibmo#divttis	ájmmo#divtes	a
áicavaš	ájttsavasj	a
áiccalmas	ájtsalmas	a
áicemeahtton	ájttsemeahtton	a
áicemeahttun	ájttsemeahttun	a
áidalas	ájddalas	a
áidelas	ájddelas	a
áidna	ájnna	a
áidno#riegádan	ájnno#riegádan	a
áidnu	ájnno	a
áidonkeahtes	ájddunkeahtes	a
áigadas	ájggadas	a
áigahaš	ájggahasj	a
áigasaš	ájggasasj	a
áiggaš	ájgasj	a
áiggeheapme	ájgeheapme	a
áiggiheapme	ájgeheapme	a
áiggáš	ájgásj	a
áigodatlaš	ájggudatlasj	a
áigái#heivvolaš	ájggáj#hejvulasj	a
áitosaš	ájttusasj	a
áivan	ájvvan	a
áktánas	áktánas	a
ákusttalaš	ákustalasj	a
ákvahtalaš	ákvahtalasj	a
álbmogiid#gaskasaš	álmmugijd#gasskasasj	a
álbmot#rievttalaš	álmmut#rievtalasj	a
álbmot#válddálaš	álmmut#váldálasj	a
álbmotlaš	álmmutlasj	a
álbmái	álmmáj	a
álgo#skandinávalaš	álggo#skanddenávalasj	a
álgo#vuolggalaš	álggo#vuolgalasj	a
álgo#vurrosaš	álggo#vurrusasj	a
álgo#álgosaš	álggo#álggusasj	a
álgosaš	álggusasj	a
álkkes	álkes	a
álmmeheapme	álmeheapme	a
álmmiheapme	álmeheapme	a
álo#ruonas	álo#ruonas	a
álolaš	álulasj	a
álás	álás	a
ámmát#suorgái	ámmát#suorggáj	a
ántihkalaš	ánttehkalasj	a
árbbiheapme	árbeheapme	a
árbe#virolaš	árbbe#virulasj	a
árbe#vuoiggalaš	árbbe#vuojgalasj	a
árjjiheapme	árjeheapme	a
árpmoheapme	ármuheapme	a
árrat	árrat	a
árvitmeahttun	árvvetmeahttun	a
árvugas	árvvugas	a
áskkas	áskas	a
ásppas	ásppas	a
ásttas	ástas	a
ávda	ávdda	a
ávdin	ávdden	a
ávgat	ávggat	a
ávjjas	ávjas	a
ávjjeheapme	ávjeheapme	a
ávjjiheapme	ávjeheapme	a
ávjjoheapme	ávjuheapme	a
ávjosaš	ávjjusasj	a
ávkkeheapme	ávkeheapme	a
ávkkiheapme	ávkeheapme	a
ávnnas#guovdasaš	ávnas#guovddasasj	a
ávnnaslaš	ávnaslasj	a
áđat	ádát	a
ášše#guoskekeahtes	ássje#guosskekeahtes	a
ášše#guoskevaš	ássje#guosskevasj	a
áššái#gullevaš	ássjáj#gullevasj	a
áššái#guoskevaš	ássjáj#guosskevasj	a
økonomálaš	økunomálasj	a
čabo	tjabo	a
čabu	tjabo	a
čadnivaš	tjaddnevasj	a
čaimmahahtti	tjajmahahtte	a
čakča#seavdnjat	tjaktja#sievnnjat	a
čakčasaš	tjaktjasasj	a
čalas	tjalás	a
čalbmet#beal	tjalmmet#biel	a
čalbmái#čuohcci	tjalmmáj#tjuohttse	a
čalgatmeahttun	tjalggatmeahttun	a
čalmmiheapme	tjalmeheapme	a
čalmmus	tjalmus	a
čargálaš	tjarggálasj	a
čatnasmeahttun	tjadnasmeahttun	a
čađa#čuovgameahttun	tjada#tjuovggameahttun	a
čađa#čuovgi	tjada#tjuovgge	a
čeahkit	tjiehket	a
čeahpálas	tjæhpálas	a
čeaktu	tjiekto	a
čearddalaš	tjierdalasj	a
čearggus	tjiergus	a
čeaskat	tjiesskat	a
čemihkalaš	tjemehkalasj	a
čibmái	tjibbmáj	a
čidnái	tjiddnáj	a
čiegus	tjiegus	a
čiehkaraddjái	tjiehkaraddjáj	a
čiekŋudeaddji	tjiegŋudeaddje	a
čielggasmeahttun	tjielgasmeahttun	a
čiergálas	tjierggálas	a
čierohahtti	tjieruhahtte	a
čierrus	tjierrus	a
čievrái	tjievrráj	a
čieŋal	tjieŋal	a
čikŋosaš	tjigŋusasj	a
čilgemeahttun	tjilggemeahttun	a
čilssas	tjilsas	a
čilvvas	tjilvas	a
čimaheapme	tjimáheapme	a
čivrra	tjivra	a
čoahkkat	tjoahkkat	a
čoaliheapme	tjoaleheapme	a
čoalttas	tjoaltas	a
čoarvviheapme	tjoarveheapme	a
čoasus	tjoasus	a
čoavdemeahttun	tjoavddemeahttun	a
čoavdimeahttun	tjoavddemeahttun	a
čoavjjiheapme	tjoavjeheapme	a
čogas	tjågås	a
čortnas	tjårnås	a
čoskái	tjåsskåj	a
čujolaš	tjujulasj	a
čuoddjil	tjuoddjel	a
čuohte#buddásaš	tjuohte#buddásasj	a
čuohte#geardásaš	tjuohte#gærddásasj	a
čuohte#ruvdnosaš	tjuohte#ruvnnusasj	a
čuoikái	tjuojkkáj	a
čuojaheapme	tjuojaheapme	a
čuojoheapme	tjuojuheapme	a
čuolmmaheapme	tjuolmaheapme	a
čuovggaheapme	tjuovgaheapme	a
čuovvovaš	tjuovvuvasj	a
čuođemat	tjuodemat	a
čuođi#geardásaš	tjuode#gærddásasj	a
čuođi#proseantasaš	tjuode#pråseantasasj	a
čuožžovaš	tjuodtjuvasj	a
čuvges#fiskat	tjuvgges#fisskat	a
čuvges#ruoksat	tjuvgges#ruoksat	a
čábba	tjábba	a
čádjidahtti	tjádjedahtte	a
čáhccái	tjáhttsáj	a
čáhce#doallalas	tjáhtse#doallalas	a
čáhce#jeahkki	tjáhtse#jiehkke	a
čáhce#vuoigatvuođalaš	tjáhtse#vuojggatvuodalasj	a
čáhci#jeahkki	tjáhtse#jiehkke	a
čáhkitmeahttun	tjáhketmeahttun	a
čáhkkil	tjáhkkel	a
čáhppes#vielgat	tjáhppes#vielggat	a
čáhppes-vielgat	tjáhppes-vielggat	a
čájiheaddji	tjájeheaddje	a
čálakeahtes	tjálákeahtes	a
čálalaš	tjálálasj	a
čálekeat	tjálekeat	a
čáppa#girjjálaš	tjáppa#girjálasj	a
čáppis	tjáppes	a
čártnas	tjárnas	a
čáskameahttun	tjásskameahttun	a
čáskil	tjásskel	a
čázas	tjátsás	a
čáze#vuloš	tjátse#vulusj	a
čáziheapme	tjátseheapme	a
šaddo#dieđalaš	sjaddo#diedalasj	a
šattoheapme	sjattuheapme	a
šattuheapme	sjattuheapme	a
šearrat	sjierrat	a
šearus	sjierus	a
šiehpun	sjiehpun	a
šiehttan#válddálaš	sjiehttan#váldálasj	a
šiehtun	sjiehtun	a
šiitemeahttun	sjijttemeahttun	a
šiitimeahttun	sjijttemeahttun	a
šleaiddos	sliejdus	a
šleaippas	sliejpas	a
šlimppas	slimpas	a
šlinccas	slintsas	a
šlinzzas	slintsas	a
šluppas	sluppas	a
šluŋkkas	sluŋkas	a
šláddjás	sláddjás	a
šlávas	slávás	a
šnjalččas	sjnjaltjas	a
šnjalžžas	sjnjaltjas	a
šnjarvvas	sjnjarvas	a
šnjuokkas	sjnjuokkas	a
šoavllas	sjoavlas	a
šoavvat	sjoavvat	a
šáigil	sjájggel	a
šáikkas	sjájkas	a
šállošahtti	sjállutjahtte	a
